"temperature","num_people","is_weekend","is_start_of_semester","is_during_semester","day_of_wk","month","hour_of_day","lag_1_day","lag_1_week","public_holiday"
71.76,0,"0","0","0","Friday","August","0",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","0",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","1",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","1",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","2",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","2",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","3",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","3",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","4",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","4",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","5",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","5",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","6",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","6",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","7",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","7",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","8",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","8",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","9",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","9",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","10",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","10",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","11",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","11",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","12",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","12",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","13",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","13",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","14",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","14",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","15",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","15",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","16",0,0,"FALSE"
71.76,0,"0","0","0","Friday","August","16",0,0,"FALSE"
71.76,40.6666666666667,"0","0","0","Friday","August","17",0,0,"FALSE"
71.76,44.5,"0","0","0","Friday","August","17",0,0,"FALSE"
72.15,47.3333333333333,"0","0","0","Friday","August","18",0,0,"FALSE"
72.15,48.5,"0","0","0","Friday","August","18",0,0,"FALSE"
69.97,40.6666666666667,"0","0","0","Friday","August","19",0,0,"FALSE"
69.97,38.5,"0","0","0","Friday","August","19",0,0,"FALSE"
68.8,37.6666666666667,"0","0","0","Friday","August","20",0,0,"FALSE"
68.8,44,"0","0","0","Friday","August","20",0,0,"FALSE"
